filename,page,block,line,word,text,?,variable,first name,last name,street number,street name,city,state,zip,date,price,acct_#,int_usage,text_type
St_Clout_Minnisota_Water_Bill_sample,1,1,1,1,101156294,,,,,,,,,,,,,,Unknown
St_Clout_Minnisota_Water_Bill_sample,1,2,1,1,White|Simplex,,,,,,,,,,,,,,Unknown
St_Clout_Minnisota_Water_Bill_sample,1,3,1,1,1,,,,,,,,,,,,,,Unknown
St_Clout_Minnisota_Water_Bill_sample,1,4,1,1,On,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,2,July,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,3,1st,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,4,any,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,5,unpaid,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,6,amounts,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,7,more,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,8,than,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,9,30,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,10,days,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,11,past,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,12,due,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,13,will,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,14,be,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,15,certified,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,16,to,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,17,the,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,1,18,County,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,1,Auditor,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,2,for,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,3,collection,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,4,and,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,5,assessed,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,6,an,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,7,additional,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,8,$50 ,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,4,2,9,fee.,,,,,,,,,,,,,,GeneralText
St_Clout_Minnisota_Water_Bill_sample,1,5,1,1,Customer,,x,x,,,,,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,1,2,Name,,x,,x,,,,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,2,1,Customer,,x,,,x,,,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,2,2,billing,,x,,,,x,,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,2,3,Address,,x,,,,x,,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,3,1,City,,x,,,,,x,,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,3,2,State,,x,,,,,,x,,,,,,Variable
St_Clout_Minnisota_Water_Bill_sample,1,5,3,3,Zip,,x,,,,,,,x,,,,,Variable
