Data,"Line Type (constant_text, account_number, bill_date, bill_issue_date, bill_date_range, client_name, company_name, client address, company address)"
"3 TO0O000008 ODOOOOOOD1 3
",constant_text
"VA Nepco. Your electric bill - Jul 2017
",constant_text
Nepco,company_name
Your electric bill,constant_text
Jul-17,bill_date
"Tor the period June 6, 2017 to July 6, 2017
",bill_date_range
"An Exelon Company
",constant_text
"Energy for a Changing World.®
",constant_text
,constant_text
"Customer Service (Mon-Fri, 7am - 8 pm) 202-833-7500
",constant_text
"Account number:
",constant_text
0123 4567,account_number
890 Hearing Impaired (TTY) - 202- 872-23 ~2369,constant_text
"Your service address: 123 MAIN ST éProblemas con la tactura? 202-872-4641
",constant_text
123 MAIN ST BETHESDA MD 70814,client_address
"Electric emergencies & outages (24 hours) 1-877-737-2662
",constant_text
"Bill Issue date:
",constant_text
7-Jul-17,bill_issue_date
"Visit pepco.com Tor service, billing and correspondence information.
",constant_text
"Your monthly Electricity use in KWh
",constant_text
"PUUE PIOULTCIHY EICCUICilyY Use tl NVVEE

Summary of your charges Daily temperature averages: Jul 2016: 76° F Jul 2017: 79° F
wi

Ralanra fram wnriir lact hill qlCE NT
",constant_text
,constant_text
"Balance trom your last bill $56.07 KWh en
",constant_text
"Your payment(s) - thank you
",constant_text
"Balance forward as of Jul 7, 2017

1080
",constant_text
"New electric charges
",constant_text
"Total amount due by Jul 28, 2017

$67.04
",constant_text
"After Jul 28, 2017, a Late Payment Charge of $1.40 will be

340
",constant_text
"added, increasing the amount due to $95.69.
",constant_text
,constant_text
"Your smart electric meter is read wirelessly. Visit My Account at
",constant_text
"peopco.com to view your dally and hourly energy usage.
",constant_text
"IT you are moving or discontinuing service, please contact Pepco at Year 1516 1516 1516 1516 1516 1617 1617 1617 1617 1617 1617 1617
",constant_text
"Montn Aug Sep Oct Nov Dec Jan Feb Mar Apr May Jun Jul
",constant_text
"least three days in advance.
",constant_text
"Information regarding rate schedules and how to verity the accuracy
",constant_text
"of your bill will be mailed upon request.
",constant_text
"Follow us on Twitter at twitter.com/PepcoConnect. Like us on
",constant_text
"Facebook at Tacebook.com/PepcoConnect.
",constant_text
"The EMPOWER MD charge Tunds programs that can help you
",constant_text
"reduce your energy consumption and save you money. For more
",constant_text
"intormation, including how to participate, go to
",constant_text
"pepco.com/saveenergy.
",constant_text
"Please tear on the dotted line below. Invoice Number: 200000609626 Page 1 of 3
",constant_text
"Return this coupon with your payment
",constant_text
"Account number 0123 4567 890

-—- , yw. gL a RnR ARKRnaATZ rem RA

made payable to Pepco
",constant_text
"Total amount due by Jul 28, 2017
",constant_text
,constant_text
"OMROO007 Amount
Paid:
",constant_text
,constant_text
