filename,page,block,text
WaterBillSample-back,1,1,
WaterBillSample-back,1,2,
WaterBillSample-back,1,3,
WaterBillSample-back,1,4,An Exelon Company
WaterBillSample-back,1,5,DD DD
WaterBillSample-back,1,6,111•1111 •111•1•11l1 111 l11l1••'111•l•'lll'i'l•i''•'illll'l •l•l• I••
WaterBillSample-back,1,7,"~~~ 
~"
WaterBillSample-back,1,8,l111111l11111111 11111111l111111lllll 1ll11 llll 11l1lll11l1111lll11l
WaterBillSample-back,1,9,03 10000008 000000013
WaterBillSample-back,1,10,"Your electric bill - Jul 2017 
for the period June 6, 2017 to July 6, 2017"
WaterBillSample-back,1,11,PEPCO MD CUSTOMER R
WaterBillSample-back,1,12,"Account number: 0123 4567 890 
Your service address: 123 MAIN ST 
BETHESDA MD 20814 
Bill Issue date: Jul 7, 2017"
WaterBillSample-back,1,13,"Summary of your charges 
Balance from your last bill 
Your payment(s) - thank you 
$56.07 
$56.07− 
Balance forward as of Jul 7, 2017  $0.00 
New electric charges  $67.04 
Total amount due by Jul 28, 2017  $67.04"
WaterBillSample-back,1,14,"After Jul 28, 2017, a Late Payment Charge of $1.40 will be 
added, increasing the amount due to $95.69."
WaterBillSample-back,1,15,"Your smart electric meter is read wirelessly. Visit My Account at 
pepco.com to view your daily and hourly energy usage."
WaterBillSample-back,1,16,"If you are moving or discontinuing service, please contact Pepco at 
least three days in advance."
WaterBillSample-back,1,17,"Information regarding rate schedules and how to verify the accuracy 
of your bill will be mailed upon request."
WaterBillSample-back,1,18,"Follow us on Twitter at twitter.com/PepcoConnect. Like us on 
Facebook at facebook.com/PepcoConnect."
WaterBillSample-back,1,19,"The EmPOWER MD charge funds programs that can help you 
reduce your energy consumption and save you money. For more 
information, including how to participate, go to 
pepco.com/saveenergy."
WaterBillSample-back,1,20,"How to contact us 
Customer Service (Mon-Fri,7am - 8 pm) 
202-833-7500 
Hearing Impaired (TTY) 
202-872-2369 
¿Problemas con la factura? 
202-872-4641 
Electric emergencies & outages (24 hours) 
1-877-737-2662 
Visit pepco.com for service, billing and correspondence information."
WaterBillSample-back,1,21,"Your monthly Electricity use in kWh 
Daily temperature averages: Jul 2016: 76° F Jul 2017: 79° F 
kWh 
1350"
WaterBillSample-back,1,22,
WaterBillSample-back,1,23,
WaterBillSample-back,1,24,
WaterBillSample-back,1,25,
WaterBillSample-back,1,26,
WaterBillSample-back,1,27,
WaterBillSample-back,1,28,
WaterBillSample-back,1,29,
WaterBillSample-back,1,30,
WaterBillSample-back,1,31,
WaterBillSample-back,1,32,
WaterBillSample-back,1,33,
WaterBillSample-back,1,34,
WaterBillSample-back,1,35,
WaterBillSample-back,1,36,
WaterBillSample-back,1,37,
