filename,page,block,text
WaterBillSample-front,1,1,
WaterBillSample-front,1,2,
WaterBillSample-front,1,3,
WaterBillSample-front,1,4,An Exelon Company
WaterBillSample-front,1,5,DD DD
WaterBillSample-front,1,6,111•1111 •111•1•11l1 111 l11l1••'111•l•'lll'i'l•i''•'illll'l •l•l• I••
WaterBillSample-front,1,7,"~~~ 
~"
WaterBillSample-front,1,8,l111111l11111111 11111111l111111lllll 1ll11 llll 11l1lll11l1111lll11l
WaterBillSample-front,1,9,03 10000008 000000013
WaterBillSample-front,1,10,"Your electric bill - Jul 2017 
for the period June 6, 2017 to July 6, 2017"
WaterBillSample-front,1,11,PEPCO MD CUSTOMER R
WaterBillSample-front,1,12,"Account number: 0123 4567 890 
Your service address: 123 MAIN ST 
BETHESDA MD 20814 
Bill Issue date: Jul 7, 2017"
WaterBillSample-front,1,13,"Summary of your charges 
Balance from your last bill 
Your payment(s) - thank you 
$56.07 
$56.07− 
Balance forward as of Jul 7, 2017  $0.00 
New electric charges  $67.04 
Total amount due by Jul 28, 2017  $67.04"
WaterBillSample-front,1,14,"After Jul 28, 2017, a Late Payment Charge of $1.40 will be 
added, increasing the amount due to $95.69."
WaterBillSample-front,1,15,"Your smart electric meter is read wirelessly. Visit My Account at 
pepco.com to view your daily and hourly energy usage."
WaterBillSample-front,1,16,"If you are moving or discontinuing service, please contact Pepco at 
least three days in advance."
WaterBillSample-front,1,17,"Information regarding rate schedules and how to verify the accuracy 
of your bill will be mailed upon request."
WaterBillSample-front,1,18,"Follow us on Twitter at twitter.com/PepcoConnect. Like us on 
Facebook at facebook.com/PepcoConnect."
WaterBillSample-front,1,19,"The EmPOWER MD charge funds programs that can help you 
reduce your energy consumption and save you money. For more 
information, including how to participate, go to 
pepco.com/saveenergy."
WaterBillSample-front,1,20,"How to contact us 
Customer Service (Mon-Fri,7am - 8 pm) 
202-833-7500 
Hearing Impaired (TTY) 
202-872-2369 
¿Problemas con la factura? 
202-872-4641 
Electric emergencies & outages (24 hours) 
1-877-737-2662 
Visit pepco.com for service, billing and correspondence information."
WaterBillSample-front,1,21,"Your monthly Electricity use in kWh 
Daily temperature averages: Jul 2016: 76° F Jul 2017: 79° F 
kWh 
1350"
WaterBillSample-front,1,22,
WaterBillSample-front,1,23,
WaterBillSample-front,1,24,
WaterBillSample-front,1,25,
WaterBillSample-front,1,26,
WaterBillSample-front,1,27,
WaterBillSample-front,1,28,
WaterBillSample-front,1,29,
WaterBillSample-front,1,30,
WaterBillSample-front,1,31,
WaterBillSample-front,1,32,
WaterBillSample-front,1,33,
WaterBillSample-front,1,34,
WaterBillSample-front,1,35,
WaterBillSample-front,1,36,
WaterBillSample-front,1,37,
WaterBillSample-front,1,38,
WaterBillSample-front,1,39,
WaterBillSample-front,1,40,
WaterBillSample-front,1,41,
WaterBillSample-front,1,42,
WaterBillSample-front,1,43,
WaterBillSample-front,1,44,
WaterBillSample-front,1,45,
WaterBillSample-front,1,46,
WaterBillSample-front,1,47,
WaterBillSample-front,1,48,
WaterBillSample-front,1,49,
WaterBillSample-front,1,50,
WaterBillSample-front,1,51,
WaterBillSample-front,1,52,
WaterBillSample-front,1,53,
WaterBillSample-front,1,54,
WaterBillSample-front,1,55,
WaterBillSample-front,1,56,
WaterBillSample-front,1,57,
WaterBillSample-front,1,58,
WaterBillSample-front,1,59,
WaterBillSample-front,1,60,
WaterBillSample-front,1,61,
WaterBillSample-front,1,62,
WaterBillSample-front,1,63,
WaterBillSample-front,1,64,
WaterBillSample-front,1,65,
WaterBillSample-front,1,66,
WaterBillSample-front,1,67,
WaterBillSample-front,1,68,
WaterBillSample-front,1,69,
WaterBillSample-front,1,70,
WaterBillSample-front,1,71,
WaterBillSample-front,1,72,
