filename,page,block,line,word,text
Bethesda_MD_Electric_Bill_sample,1,4,1,1,An
Bethesda_MD_Electric_Bill_sample,1,4,1,2,Exelon
Bethesda_MD_Electric_Bill_sample,1,4,1,3,Company
Bethesda_MD_Electric_Bill_sample,1,5,1,1,DD
Bethesda_MD_Electric_Bill_sample,1,5,1,2,DD
Bethesda_MD_Electric_Bill_sample,1,6,1,1,111•1111
Bethesda_MD_Electric_Bill_sample,1,6,1,2,•111•1•11l1
Bethesda_MD_Electric_Bill_sample,1,6,1,3,111
Bethesda_MD_Electric_Bill_sample,1,6,1,4,l11l1••'111•l•'lll'i'l•i''•'illll'l
Bethesda_MD_Electric_Bill_sample,1,6,1,5,•l•l•
Bethesda_MD_Electric_Bill_sample,1,6,1,6,I••
Bethesda_MD_Electric_Bill_sample,1,7,1,1,~~~
Bethesda_MD_Electric_Bill_sample,1,7,2,1,~
Bethesda_MD_Electric_Bill_sample,1,8,1,1,l111111l11111111
Bethesda_MD_Electric_Bill_sample,1,8,1,2,11111111l111111lllll
Bethesda_MD_Electric_Bill_sample,1,8,1,3,1ll11
Bethesda_MD_Electric_Bill_sample,1,8,1,4,llll
Bethesda_MD_Electric_Bill_sample,1,8,1,5,11l1lll11l1111lll11l
Bethesda_MD_Electric_Bill_sample,1,9,1,1,03
Bethesda_MD_Electric_Bill_sample,1,9,1,2,10000008
Bethesda_MD_Electric_Bill_sample,1,9,1,3,000000013
Bethesda_MD_Electric_Bill_sample,1,10,1,1,Your
Bethesda_MD_Electric_Bill_sample,1,10,1,2,electric
Bethesda_MD_Electric_Bill_sample,1,10,1,3,bill
Bethesda_MD_Electric_Bill_sample,1,10,1,4,-
Bethesda_MD_Electric_Bill_sample,1,10,1,5,Jul
Bethesda_MD_Electric_Bill_sample,1,10,1,6,2017
Bethesda_MD_Electric_Bill_sample,1,10,2,1,for
Bethesda_MD_Electric_Bill_sample,1,10,2,2,the
Bethesda_MD_Electric_Bill_sample,1,10,2,3,period
Bethesda_MD_Electric_Bill_sample,1,10,2,4,June
Bethesda_MD_Electric_Bill_sample,1,10,2,5,"6,"
Bethesda_MD_Electric_Bill_sample,1,10,2,6,2017
Bethesda_MD_Electric_Bill_sample,1,10,2,7,to
Bethesda_MD_Electric_Bill_sample,1,10,2,8,July
Bethesda_MD_Electric_Bill_sample,1,10,2,9,"6,"
Bethesda_MD_Electric_Bill_sample,1,10,2,10,2017
Bethesda_MD_Electric_Bill_sample,1,11,1,1,PEPCO
Bethesda_MD_Electric_Bill_sample,1,11,1,2,MD
Bethesda_MD_Electric_Bill_sample,1,11,1,3,CUSTOMER
Bethesda_MD_Electric_Bill_sample,1,11,1,4,R
Bethesda_MD_Electric_Bill_sample,1,12,1,1,Account
Bethesda_MD_Electric_Bill_sample,1,12,1,2,number:
Bethesda_MD_Electric_Bill_sample,1,12,1,3,0123
Bethesda_MD_Electric_Bill_sample,1,12,1,4,4567
Bethesda_MD_Electric_Bill_sample,1,12,1,5,890
Bethesda_MD_Electric_Bill_sample,1,12,2,1,Your
Bethesda_MD_Electric_Bill_sample,1,12,2,2,service
Bethesda_MD_Electric_Bill_sample,1,12,2,3,address:
Bethesda_MD_Electric_Bill_sample,1,12,2,4,123
Bethesda_MD_Electric_Bill_sample,1,12,2,5,MAIN
Bethesda_MD_Electric_Bill_sample,1,12,2,6,ST
Bethesda_MD_Electric_Bill_sample,1,12,3,1,BETHESDA
Bethesda_MD_Electric_Bill_sample,1,12,3,2,MD
Bethesda_MD_Electric_Bill_sample,1,12,3,3,20814
Bethesda_MD_Electric_Bill_sample,1,12,4,1,Bill
Bethesda_MD_Electric_Bill_sample,1,12,4,2,Issue
Bethesda_MD_Electric_Bill_sample,1,12,4,3,date:
Bethesda_MD_Electric_Bill_sample,1,12,4,4,Jul
Bethesda_MD_Electric_Bill_sample,1,12,4,5,"7,"
Bethesda_MD_Electric_Bill_sample,1,12,4,6,2017
Bethesda_MD_Electric_Bill_sample,1,13,1,1,Summary
Bethesda_MD_Electric_Bill_sample,1,13,1,2,of
Bethesda_MD_Electric_Bill_sample,1,13,1,3,your
Bethesda_MD_Electric_Bill_sample,1,13,1,4,charges
Bethesda_MD_Electric_Bill_sample,1,13,2,1,Balance
Bethesda_MD_Electric_Bill_sample,1,13,2,2,from
Bethesda_MD_Electric_Bill_sample,1,13,2,3,your
Bethesda_MD_Electric_Bill_sample,1,13,2,4,last
Bethesda_MD_Electric_Bill_sample,1,13,2,5,bill
Bethesda_MD_Electric_Bill_sample,1,13,3,1,Your
Bethesda_MD_Electric_Bill_sample,1,13,3,2,payment(s)
Bethesda_MD_Electric_Bill_sample,1,13,3,3,-
Bethesda_MD_Electric_Bill_sample,1,13,3,4,thank
Bethesda_MD_Electric_Bill_sample,1,13,3,5,you
Bethesda_MD_Electric_Bill_sample,1,13,4,1,$56.07
Bethesda_MD_Electric_Bill_sample,1,13,5,1,$56.07−
Bethesda_MD_Electric_Bill_sample,1,13,6,1,Balance
Bethesda_MD_Electric_Bill_sample,1,13,6,2,forward
Bethesda_MD_Electric_Bill_sample,1,13,6,3,as
Bethesda_MD_Electric_Bill_sample,1,13,6,4,of
Bethesda_MD_Electric_Bill_sample,1,13,6,5,Jul
Bethesda_MD_Electric_Bill_sample,1,13,6,6,"7,"
Bethesda_MD_Electric_Bill_sample,1,13,6,7,2017
Bethesda_MD_Electric_Bill_sample,1,13,7,1,$0.00
Bethesda_MD_Electric_Bill_sample,1,13,8,1,New
Bethesda_MD_Electric_Bill_sample,1,13,8,2,electric
Bethesda_MD_Electric_Bill_sample,1,13,8,3,charges
Bethesda_MD_Electric_Bill_sample,1,13,9,1,$67.04
Bethesda_MD_Electric_Bill_sample,1,13,10,1,Total
Bethesda_MD_Electric_Bill_sample,1,13,10,2,amount
Bethesda_MD_Electric_Bill_sample,1,13,10,3,due
Bethesda_MD_Electric_Bill_sample,1,13,10,4,by
Bethesda_MD_Electric_Bill_sample,1,13,10,5,Jul
Bethesda_MD_Electric_Bill_sample,1,13,10,6,"28,"
Bethesda_MD_Electric_Bill_sample,1,13,10,7,2017
Bethesda_MD_Electric_Bill_sample,1,13,11,1,$67.04
Bethesda_MD_Electric_Bill_sample,1,14,1,1,After
Bethesda_MD_Electric_Bill_sample,1,14,1,2,Jul
Bethesda_MD_Electric_Bill_sample,1,14,1,3,"28,"
Bethesda_MD_Electric_Bill_sample,1,14,1,4,"2017,"
Bethesda_MD_Electric_Bill_sample,1,14,1,5,a
Bethesda_MD_Electric_Bill_sample,1,14,1,6,Late
Bethesda_MD_Electric_Bill_sample,1,14,1,7,Payment
Bethesda_MD_Electric_Bill_sample,1,14,1,8,Charge
Bethesda_MD_Electric_Bill_sample,1,14,1,9,of
Bethesda_MD_Electric_Bill_sample,1,14,1,10,$1.40
Bethesda_MD_Electric_Bill_sample,1,14,1,11,will
Bethesda_MD_Electric_Bill_sample,1,14,1,12,be
Bethesda_MD_Electric_Bill_sample,1,14,2,1,"added,"
Bethesda_MD_Electric_Bill_sample,1,14,2,2,increasing
Bethesda_MD_Electric_Bill_sample,1,14,2,3,the
Bethesda_MD_Electric_Bill_sample,1,14,2,4,amount
Bethesda_MD_Electric_Bill_sample,1,14,2,5,due
Bethesda_MD_Electric_Bill_sample,1,14,2,6,to
Bethesda_MD_Electric_Bill_sample,1,14,2,7,$95.69.
Bethesda_MD_Electric_Bill_sample,1,15,1,1,Your
Bethesda_MD_Electric_Bill_sample,1,15,1,2,smart
Bethesda_MD_Electric_Bill_sample,1,15,1,3,electric
Bethesda_MD_Electric_Bill_sample,1,15,1,4,meter
Bethesda_MD_Electric_Bill_sample,1,15,1,5,is
Bethesda_MD_Electric_Bill_sample,1,15,1,6,read
Bethesda_MD_Electric_Bill_sample,1,15,1,7,wirelessly.
Bethesda_MD_Electric_Bill_sample,1,15,1,8,Visit
Bethesda_MD_Electric_Bill_sample,1,15,1,9,My
Bethesda_MD_Electric_Bill_sample,1,15,1,10,Account
Bethesda_MD_Electric_Bill_sample,1,15,1,11,at
Bethesda_MD_Electric_Bill_sample,1,15,2,1,pepco.com
Bethesda_MD_Electric_Bill_sample,1,15,2,2,to
Bethesda_MD_Electric_Bill_sample,1,15,2,3,view
Bethesda_MD_Electric_Bill_sample,1,15,2,4,your
Bethesda_MD_Electric_Bill_sample,1,15,2,5,daily
Bethesda_MD_Electric_Bill_sample,1,15,2,6,and
Bethesda_MD_Electric_Bill_sample,1,15,2,7,hourly
Bethesda_MD_Electric_Bill_sample,1,15,2,8,energy
Bethesda_MD_Electric_Bill_sample,1,15,2,9,usage.
Bethesda_MD_Electric_Bill_sample,1,16,1,1,If
Bethesda_MD_Electric_Bill_sample,1,16,1,2,you
Bethesda_MD_Electric_Bill_sample,1,16,1,3,are
Bethesda_MD_Electric_Bill_sample,1,16,1,4,moving
Bethesda_MD_Electric_Bill_sample,1,16,1,5,or
Bethesda_MD_Electric_Bill_sample,1,16,1,6,discontinuing
Bethesda_MD_Electric_Bill_sample,1,16,1,7,"service,"
Bethesda_MD_Electric_Bill_sample,1,16,1,8,please
Bethesda_MD_Electric_Bill_sample,1,16,1,9,contact
Bethesda_MD_Electric_Bill_sample,1,16,1,10,Pepco
Bethesda_MD_Electric_Bill_sample,1,16,1,11,at
Bethesda_MD_Electric_Bill_sample,1,16,2,1,least
Bethesda_MD_Electric_Bill_sample,1,16,2,2,three
Bethesda_MD_Electric_Bill_sample,1,16,2,3,days
Bethesda_MD_Electric_Bill_sample,1,16,2,4,in
Bethesda_MD_Electric_Bill_sample,1,16,2,5,advance.
Bethesda_MD_Electric_Bill_sample,1,17,1,1,Information
Bethesda_MD_Electric_Bill_sample,1,17,1,2,regarding
Bethesda_MD_Electric_Bill_sample,1,17,1,3,rate
Bethesda_MD_Electric_Bill_sample,1,17,1,4,schedules
Bethesda_MD_Electric_Bill_sample,1,17,1,5,and
Bethesda_MD_Electric_Bill_sample,1,17,1,6,how
Bethesda_MD_Electric_Bill_sample,1,17,1,7,to
