filename,page,block,line,word,text
WaterBillSample-back,1,1,1,1,Cobb
WaterBillSample-back,1,1,1,2,County
WaterBillSample-back,1,1,1,3,Water
WaterBillSample-back,1,1,1,4,System
WaterBillSample-back,1,1,1,5,Monthly
WaterBillSample-back,1,1,1,6,Billing
WaterBillSample-back,1,1,1,7,Information
WaterBillSample-back,1,2,1,1,Información
WaterBillSample-back,1,2,1,2,Mensual
WaterBillSample-back,1,2,1,3,del
WaterBillSample-back,1,2,1,4,Sistema
WaterBillSample-back,1,2,1,5,de
WaterBillSample-back,1,2,1,6,Agua
WaterBillSample-back,1,2,1,7,del
WaterBillSample-back,1,2,1,8,Condado
WaterBillSample-back,1,2,1,9,de
WaterBillSample-back,1,2,1,10,Cobb
WaterBillSample-back,1,3,1,1,WATER
WaterBillSample-back,1,3,1,2,RATES:
WaterBillSample-back,1,3,2,1,Tarifa
WaterBillSample-back,1,3,2,2,del
WaterBillSample-back,1,3,2,3,Agua:
WaterBillSample-back,1,4,1,1,Unincorporated
WaterBillSample-back,1,4,1,2,Cobb
WaterBillSample-back,1,4,2,1,Cobb
WaterBillSample-back,1,4,2,2,No
WaterBillSample-back,1,4,2,3,Incorporado
WaterBillSample-back,1,5,1,1,Inside
WaterBillSample-back,1,5,1,2,City
WaterBillSample-back,1,5,1,3,Limits
WaterBillSample-back,1,6,1,1,Dentro
WaterBillSample-back,1,6,1,2,los
WaterBillSample-back,1,6,1,3,límites
WaterBillSample-back,1,6,1,4,de
WaterBillSample-back,1,6,1,5,la
WaterBillSample-back,1,6,1,6,ciudad
WaterBillSample-back,1,7,1,1,Non-Residential:
WaterBillSample-back,1,8,1,1,Single
WaterBillSample-back,1,8,1,2,Family
WaterBillSample-back,1,8,1,3,Residential:
WaterBillSample-back,1,8,2,1,Tier
WaterBillSample-back,1,8,2,2,One
WaterBillSample-back,1,8,2,3,/
WaterBillSample-back,1,8,2,4,Nivel
WaterBillSample-back,1,8,2,5,Uno:
WaterBillSample-back,1,8,3,1,Tier
WaterBillSample-back,1,8,3,2,Two
WaterBillSample-back,1,8,3,3,/
WaterBillSample-back,1,8,3,4,Nivel
WaterBillSample-back,1,8,3,5,Dos:
WaterBillSample-back,1,8,4,1,Tier
WaterBillSample-back,1,8,4,2,Three
WaterBillSample-back,1,8,4,3,/
WaterBillSample-back,1,8,4,4,Nivel
WaterBillSample-back,1,8,4,5,Tres
WaterBillSample-back,1,8,5,1,Tier
WaterBillSample-back,1,8,5,2,Four
WaterBillSample-back,1,8,5,3,/
WaterBillSample-back,1,8,5,4,Nivel
WaterBillSample-back,1,8,5,5,Cuatro:
WaterBillSample-back,1,8,6,1,Tier
WaterBillSample-back,1,8,6,2,Five
WaterBillSample-back,1,8,6,3,/
WaterBillSample-back,1,8,6,4,Nivel
WaterBillSample-back,1,8,6,5,Cinco:
WaterBillSample-back,1,9,1,1,"1,000"
WaterBillSample-back,1,9,1,2,-
WaterBillSample-back,1,9,1,3,"3,000"
WaterBillSample-back,1,9,1,4,gallons
WaterBillSample-back,1,9,2,1,"4,000"
WaterBillSample-back,1,9,2,2,"-15,000"
WaterBillSample-back,1,9,2,3,gallons
WaterBillSample-back,1,9,3,1,"16,000"
WaterBillSample-back,1,9,3,2,-
WaterBillSample-back,1,9,3,3,"29,000"
