filename,page,block,line,word,text
WaterBillSample-front,1,1,1,1,RETURN
WaterBillSample-front,1,1,1,2,LOWER
WaterBillSample-front,1,1,1,3,PORTION
WaterBillSample-front,1,1,1,4,WITH
WaterBillSample-front,1,1,1,5,PAYMENT
WaterBillSample-front,1,2,1,1,Account
WaterBillSample-front,1,2,1,2,Number:
WaterBillSample-front,1,3,1,1,Rate
WaterBillSample-front,1,3,1,2,Information
WaterBillSample-front,1,3,1,3,on
WaterBillSample-front,1,3,1,4,Back
WaterBillSample-front,1,4,1,1,GLORIA
WaterBillSample-front,1,4,1,2,DE
WaterBillSample-front,1,4,1,3,LA
WaterBillSample-front,1,4,1,4,CRUZ
WaterBillSample-front,1,4,2,1,660
WaterBillSample-front,1,4,2,2,S
WaterBillSample-front,1,4,2,3,COBB
WaterBillSample-front,1,4,2,4,DR
WaterBillSample-front,1,4,2,5,SE
WaterBillSample-front,1,4,3,1,MARIETTA
WaterBillSample-front,1,4,3,2,GA
WaterBillSample-front,1,4,3,3,30060-3105
WaterBillSample-front,1,5,1,1,Cobb
WaterBillSample-front,1,5,1,2,County
WaterBillSample-front,1,5,1,3,Water
WaterBillSample-front,1,5,1,4,System
WaterBillSample-front,1,5,2,1,660
WaterBillSample-front,1,5,2,2,South
WaterBillSample-front,1,5,2,3,Cobb
WaterBillSample-front,1,5,2,4,Dr
WaterBillSample-front,1,5,2,5,SE
WaterBillSample-front,1,5,3,1,Marietta
WaterBillSample-front,1,5,3,2,GA
WaterBillSample-front,1,5,3,3,30060-3105
WaterBillSample-front,1,6,1,1,Make
WaterBillSample-front,1,6,1,2,Checks
WaterBillSample-front,1,6,1,3,Payable
WaterBillSample-front,1,6,1,4,to:
WaterBillSample-front,1,6,1,5,Cobb
WaterBillSample-front,1,6,1,6,County
WaterBillSample-front,1,6,1,7,Water
WaterBillSample-front,1,6,1,8,System
WaterBillSample-front,1,7,1,1,00063657402478534000000078249
WaterBillSample-front,1,8,1,1,2210200.2019060429205.00017
WaterBillSample-front,1,9,1,1,17
WaterBillSample-front,1,9,2,1,*00017*
WaterBillSample-front,1,10,1,1,Visit
WaterBillSample-front,1,10,1,2,www.CobbWater.org
WaterBillSample-front,1,11,1,1,View
WaterBillSample-front,1,11,1,2,Your
WaterBillSample-front,1,11,1,3,Bill
WaterBillSample-front,1,12,1,1,Make
WaterBillSample-front,1,12,1,2,Payments
WaterBillSample-front,1,13,1,1,Review
WaterBillSample-front,1,13,1,2,Consumption
WaterBillSample-front,1,13,1,3,History
WaterBillSample-front,1,14,1,1,"Free,"
WaterBillSample-front,1,14,1,2,"Easy,"
WaterBillSample-front,1,14,1,3,Secure
WaterBillSample-front,1,14,1,4,and
WaterBillSample-front,1,14,1,5,Convenient.
WaterBillSample-front,1,15,1,1,636574-247853
WaterBillSample-front,1,16,1,1,COBB
WaterBillSample-front,1,16,1,2,COUNTY
WaterBillSample-front,1,16,1,3,WATER
WaterBillSample-front,1,16,1,4,SYSTEM
WaterBillSample-front,1,16,2,1,PO
WaterBillSample-front,1,16,2,2,BOX
WaterBillSample-front,1,16,2,3,580440
WaterBillSample-front,1,16,3,1,CHARLOTTE
WaterBillSample-front,1,16,3,2,NC
WaterBillSample-front,1,16,3,3,28258-0440
WaterBillSample-front,1,17,1,1,Account
WaterBillSample-front,1,17,1,2,Activity
WaterBillSample-front,1,17,1,3,Since
WaterBillSample-front,1,17,1,4,Last
WaterBillSample-front,1,17,1,5,Statement
WaterBillSample-front,1,18,1,1,Account
WaterBillSample-front,1,18,1,2,Number:
WaterBillSample-front,1,18,2,1,636574-247853
WaterBillSample-front,1,19,1,1,Previous
WaterBillSample-front,1,19,1,2,Balance:
WaterBillSample-front,1,19,2,1,170.84
WaterBillSample-front,1,20,1,1,Payments:
WaterBillSample-front,1,20,2,1,170.84
WaterBillSample-front,1,21,1,1,Balance
WaterBillSample-front,1,21,1,2,Forward:
WaterBillSample-front,1,21,2,1,0.00
WaterBillSample-front,1,22,1,1,Due
WaterBillSample-front,1,22,1,2,Date:
WaterBillSample-front,1,22,2,1,06-28-19
WaterBillSample-front,1,23,1,1,Total
WaterBillSample-front,1,23,1,2,Amount
WaterBillSample-front,1,23,1,3,Due:
WaterBillSample-front,1,23,2,1,78.24
WaterBillSample-front,1,24,1,1,Amount
WaterBillSample-front,1,24,1,2,Paid:
WaterBillSample-front,1,24,1,3,___________________
WaterBillSample-front,1,25,1,1,Your
